ID|COD_SKU_SAP|UND_ORDEN|FECHA
1|4|980|1/01/2018
1|4|802|1/02/2018
1|4|843|1/03/2018
1|4|722|1/04/2018
1|4|1014|1/05/2018
1|4|831|1/06/2018
1|4|679|1/07/2018
1|4|756|1/08/2018
1|4|683|1/09/2018
1|4|494|1/10/2018
1|4|621|1/11/2018
1|4|700|1/12/2018
1|4|783|1/01/2019
1|4|857|1/02/2019
1|4|738|1/03/2019
1|4|721|1/04/2019
1|4|760|1/05/2019
1|4|606|1/06/2019
1|4|677|1/07/2019
1|4|673|1/08/2019
1|4|784|1/09/2019
1|4|732|1/10/2019
1|4|715|1/11/2019
1|4|774|1/12/2019
1|4|700|1/01/2020
1|4|562|1/02/2020
1|4|458|1/03/2020
1|4|343|1/04/2020
1|4|268|1/05/2020
1|4|496|1/06/2020
1|4|624|1/07/2020
1|4|1155|1/08/2020
1|4|913|1/09/2020
1|4|877|1/10/2020
1|4|686|1/11/2020
1|4|620|1/12/2020
1|4|880|1/01/2021
1|4|869|1/02/2021
1|4|1874|1/03/2021
1|4|1939|1/04/2021
1|4|1419|1/05/2021
1|4|889|1/06/2021
1|4|828|1/07/2021
1|4|743|1/08/2021
1|4|738|1/09/2021
1|4|693|1/10/2021
1|4|614|1/11/2021
1|4|709|1/12/2021
1|4|1143|1/01/2022
1|4|606|1/02/2022
1|4|552|1/03/2022
1|4|588|1/04/2022
1|4|741|1/05/2022
1|4|595|1/06/2022
1|4|660|1/07/2022
1|4|679|1/08/2022
1|4|538|1/09/2022
1|4|602|1/10/2022
1|4|620|1/11/2022
1|4|607|1/12/2022
1|4|582|1/01/2023
1|4|663|1/02/2023
1|4|626|1/03/2023
1|4|666|1/04/2023
1|4|743|1/05/2023
1|4|255|1/06/2023
1|4|491|1/07/2023
2|6|69|1/01/2018
2|6|71|1/02/2018
2|6|91|1/03/2018
2|6|70|1/04/2018
2|6|82|1/05/2018
2|6|85|1/06/2018
2|6|100|1/07/2018
2|6|99|1/08/2018
2|6|119|1/09/2018
2|6|107|1/10/2018
2|6|110|1/11/2018
2|6|124|1/12/2018
2|6|129|1/01/2019
2|6|126|1/02/2019
2|6|137|1/03/2019
2|6|78|1/04/2019
2|6|55|1/05/2019
2|6|57|1/06/2019
2|6|63|1/07/2019
2|6|61|1/08/2019
2|6|49|1/09/2019
2|6|66|1/10/2019
2|6|42|1/11/2019
2|6|41|1/12/2019
2|6|37|1/01/2020
2|6|39|1/02/2020
